"","ZCTA5","STATE","COUNTY","TRACT","GEOID","POPPT","HUPT","AREAPT","AREALANDPT","ZPOP","ZHU","ZAREA","ZAREALAND","TRPOP","TRHU","TRAREA","TRAREALAND","ZPOPPCT","ZHUPCT","ZAREAPCT","ZAREALANDPCT","TRPOPPCT","TRHUPCT","TRAREAPCT","TRAREALANDPCT"
"26749",20011,11,1,1803,11001001803,2469,1102,244634,244634,58536,25082,12738136,12631549,3514,1612,1169788,1137810,4.22,4.39,1.92,1.94,70.26,68.36,20.91,21.5
"26750",20011,11,1,1804,11001001804,2671,1142,322020,322020,58536,25082,12738136,12631549,4480,1924,601780,601780,4.56,4.55,2.53,2.55,59.62,59.36,53.51,53.51
"26751",20011,11,1,1901,11001001901,3175,1269,579288,579288,58536,25082,12738136,12631549,4016,1603,769144,769144,5.42,5.06,4.55,4.59,79.06,79.16,75.32,75.32
"26752",20011,11,1,1902,11001001902,1804,787,705044,705044,58536,25082,12738136,12631549,1969,861,888252,888252,3.08,3.14,5.53,5.58,91.62,91.41,79.37,79.37
"26753",20011,11,1,2001,11001002001,2340,1026,633491,631327,58536,25082,12738136,12631549,2340,1026,633491,631327,4,4.09,4.97,5,100,100,100,100
"26754",20011,11,1,2002,11001002002,3813,1436,849257,849257,58536,25082,12738136,12631549,3813,1436,849257,849257,6.51,5.73,6.67,6.72,100,100,100,100
"26755",20011,11,1,2101,11001002101,5309,2183,601123,601123,58536,25082,12738136,12631549,5309,2183,601123,601123,9.07,8.7,4.72,4.76,100,100,100,100
"26756",20011,11,1,2102,11001002102,4648,2173,725934,725934,58536,25082,12738136,12631549,4648,2173,725934,725934,7.94,8.66,5.7,5.75,100,100,100,100
"26757",20011,11,1,2201,11001002201,3442,1186,415170,415170,58536,25082,12738136,12631549,3442,1186,415170,415170,5.88,4.73,3.26,3.29,100,100,100,100
"26758",20011,11,1,2202,11001002202,3087,1434,695527,694961,58536,25082,12738136,12631549,3087,1434,695527,694961,5.27,5.72,5.46,5.5,100,100,100,100
"26759",20011,11,1,2301,11001002301,2974,1168,412610,412610,58536,25082,12738136,12631549,2974,1168,412610,412610,5.08,4.66,3.24,3.27,100,100,100,100
"26760",20011,11,1,2400,11001002400,3401,1311,529318,529318,58536,25082,12738136,12631549,3618,1384,556361,556361,5.81,5.23,4.16,4.19,94,94.73,95.14,95.14
"26761",20011,11,1,2501,11001002501,2554,1042,543460,543460,58536,25082,12738136,12631549,2554,1042,543460,543460,4.36,4.15,4.27,4.3,100,100,100,100
"26762",20011,11,1,2502,11001002502,4424,1805,465054,465054,58536,25082,12738136,12631549,5973,2415,604505,604505,7.56,7.2,3.65,3.68,74.07,74.74,76.93,76.93
"26763",20011,11,1,2600,11001002600,2166,1001,2216477,2112648,58536,25082,12738136,12631549,2166,1001,2216477,2112648,3.7,3.99,17.4,16.73,100,100,100,100
"26764",20011,11,1,9501,11001009501,3144,1603,594430,594430,58536,25082,12738136,12631549,5797,1954,1594368,1594368,5.37,6.39,4.67,4.71,54.23,82.04,37.28,37.28
"26765",20011,11,1,9505,11001009505,2405,1121,961801,961801,58536,25082,12738136,12631549,2630,1217,1040706,1040706,4.11,4.47,7.55,7.61,91.44,92.11,92.42,92.42
"26766",20011,11,1,9507,11001009507,1489,607,294693,294693,58536,25082,12738136,12631549,1489,607,294693,294693,2.54,2.42,2.31,2.33,100,100,100,100
"26767",20011,11,1,9508,11001009508,3115,1645,855885,855857,58536,25082,12738136,12631549,3290,1742,944223,944195,5.32,6.56,6.72,6.78,94.68,94.43,90.64,90.64
"26768",20012,11,1,1600,11001001600,3957,1685,2686556,2650939,13414,6058,5925258,5857663,3957,1685,2686556,2650939,29.5,27.81,45.34,45.26,100,100,100,100
"26769",20012,11,1,1702,11001001702,2538,1271,843976,843976,13414,6058,5925258,5857663,2644,1312,936896,936896,18.92,20.98,14.24,14.41,95.99,96.88,90.08,90.08
"26770",20012,11,1,1803,11001001803,1045,510,925154,893176,13414,6058,5925258,5857663,3514,1612,1169788,1137810,7.79,8.42,15.61,15.25,29.74,31.64,79.09,78.5
"26771",20012,11,1,1804,11001001804,1809,782,279760,279760,13414,6058,5925258,5857663,4480,1924,601780,601780,13.49,12.91,4.72,4.78,40.38,40.64,46.49,46.49
"26772",20012,11,1,1901,11001001901,841,334,189856,189856,13414,6058,5925258,5857663,4016,1603,769144,769144,6.27,5.51,3.2,3.24,20.94,20.84,24.68,24.68
"26773",20012,11,1,1902,11001001902,165,74,183208,183208,13414,6058,5925258,5857663,1969,861,888252,888252,1.23,1.22,3.09,3.13,8.38,8.59,20.63,20.63
"26774",20012,11,1,9505,11001009505,225,96,78905,78905,13414,6058,5925258,5857663,2630,1217,1040706,1040706,1.68,1.58,1.33,1.35,8.56,7.89,7.58,7.58
"26775",20012,11,1,10300,11001010300,2834,1306,737843,737843,13414,6058,5925258,5857663,3187,1306,1080390,1080329,21.13,21.56,12.45,12.6,88.92,100,68.29,68.3
"26776",20015,11,1,1001,11001001001,249,115,138939,138939,15332,6756,8952637,8940121,7436,2834,2454487,2454487,1.62,1.7,1.55,1.55,3.35,4.06,5.66,5.66
"26777",20015,11,1,1100,11001001100,3450,1616,887050,887050,15332,6756,8952637,8940121,4779,2234,1676550,1676550,22.5,23.92,9.91,9.92,72.19,72.34,52.91,52.91
"26778",20015,11,1,1301,11001001301,0,0,1647881,1647256,15332,6756,8952637,8940121,3955,2156,2853767,2853142,0,0,18.41,18.43,0,0,57.74,57.73
"26779",20015,11,1,1401,11001001401,3078,1478,788295,788295,15332,6756,8952637,8940121,3078,1478,788295,788295,20.08,21.88,8.81,8.82,100,100,100,100
"26780",20015,11,1,1402,11001001402,2748,1453,837078,837078,15332,6756,8952637,8940121,2998,1612,895208,895208,17.92,21.51,9.35,9.36,91.66,90.14,93.51,93.51
"26781",20015,11,1,1500,11001001500,5807,2094,4653394,4641503,15332,6756,8952637,8940121,5911,2126,4700012,4687921,37.88,30.99,51.98,51.92,98.24,98.49,99.01,99.01
