GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Male,Margin of Error; Total: - Male,Estimate; Total: - Female,Margin of Error; Total: - Female,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Male,Margin of Error; Total: - Same house 1 year ago: - Male,Estimate; Total: - Same house 1 year ago: - Female,Margin of Error; Total: - Same house 1 year ago: - Female,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Male,Margin of Error; Total: - Moved within same county: - Male,Estimate; Total: - Moved within same county: - Female,Margin of Error; Total: - Moved within same county: - Female,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Male,Margin of Error; Total: - Moved from different county within same state: - Male,Estimate; Total: - Moved from different county within same state: - Female,Margin of Error; Total: - Moved from different county within same state: - Female,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Male,Margin of Error; Total: - Moved from different state: - Male,Estimate; Total: - Moved from different state: - Female,Margin of Error; Total: - Moved from different state: - Female,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Male,Margin of Error; Total: - Moved from abroad: - Male,Estimate; Total: - Moved from abroad: - Female,Margin of Error; Total: - Moved from abroad: - Female
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",3480,375,1582,243,1898,268,2886,331,1341,219,1545,235,337,137,125,60,212,103,0,12,0,12,0,12,224,95,116,54,108,72,33,53,0,12,33,53
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",2539,301,1156,211,1383,201,2128,290,989,179,1139,197,199,83,103,57,96,42,0,12,0,12,0,12,184,110,56,37,128,111,28,22,8,10,20,19
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",2754,247,1515,206,1239,178,2180,286,1241,205,939,180,437,165,207,98,230,132,0,12,0,12,0,12,137,68,67,39,70,44,0,12,0,12,0,12
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",2056,272,1227,236,829,122,1577,207,953,145,624,107,238,132,132,97,106,72,0,12,0,12,0,12,192,99,118,74,74,62,49,33,24,25,25,18
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",5886,434,3457,398,2429,329,4695,457,2763,437,1932,320,697,272,381,178,316,138,0,17,0,17,0,17,484,163,308,121,176,94,10,20,5,10,5,10
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",6196,507,3487,539,2709,390,4706,610,2936,570,1770,341,712,247,213,142,499,202,0,17,0,17,0,17,491,280,172,127,319,254,287,184,166,140,121,90
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",4912,295,2457,252,2455,300,3663,322,1950,234,1713,287,710,201,270,122,440,146,0,12,0,12,0,12,390,158,177,88,213,92,149,84,60,49,89,53
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",6586,712,3362,586,3224,558,4865,729,2453,528,2412,451,859,355,487,305,372,205,0,17,0,17,0,17,631,214,263,150,368,188,231,141,159,113,72,71
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",6909,1002,3128,385,3781,993,4690,1156,2180,371,2510,1002,833,237,270,134,563,196,0,17,0,17,0,17,998,364,527,299,471,161,388,224,151,97,237,174
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",2741,311,1460,262,1281,150,2070,206,1081,142,989,140,166,83,70,64,96,44,0,12,0,12,0,12,479,165,290,117,189,85,26,33,19,28,7,11
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",2882,299,1485,273,1397,222,1783,230,970,193,813,175,326,124,189,107,137,50,0,12,0,12,0,12,640,223,241,117,399,155,133,76,85,71,48,45
