GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US20500,20500,"ZIP 20500 (Washington, DC)",0,Total for all sectors,2015,3,a,D,D
8610000US20501,20501,"ZIP 20501 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20502,20502,"ZIP 20502 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20503,20503,"ZIP 20503 (Washington, DC)",0,Total for all sectors,2015,11,120,2257,9772
8610000US20505,20505,"ZIP 20505 (Washington, DC)",0,Total for all sectors,2015,1,b,D,D
8610000US20506,20506,"ZIP 20506 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20507,20507,"ZIP 20507 (Washington, DC)",0,Total for all sectors,2015,2,b,D,D
8610000US20508,20508,"ZIP 20508 (Washington, DC)",0,Total for all sectors,2015,2,b,D,D
8610000US20510,20510,"ZIP 20510 (Washington, DC)",0,Total for all sectors,2015,5,30,503,1990
8610000US20515,20515,"ZIP 20515 (Washington, DC)",0,Total for all sectors,2015,46,364,3216,13753
8610000US20520,20520,"ZIP 20520 (Washington, DC)",0,Total for all sectors,2015,17,586,10467,45923
8610000US20521,20521,"ZIP 20521 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20522,20522,"ZIP 20522 (Washington, DC)",0,Total for all sectors,2015,5,28,355,911
8610000US20523,20523,"ZIP 20523 (Washington, DC)",0,Total for all sectors,2015,6,28,719,1402
8610000US20525,20525,"ZIP 20525 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20526,20526,"ZIP 20526 (Washington, DC)",0,Total for all sectors,2015,3,21,218,897
8610000US20527,20527,"ZIP 20527 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20528,20528,"ZIP 20528 (Washington, DC)",0,Total for all sectors,2015,8,384,4535,18424
8610000US20529,20529,"ZIP 20529 (Washington, DC)",0,Total for all sectors,2015,7,39,686,2946
8610000US20530,20530,"ZIP 20530 (Washington, DC)",0,Total for all sectors,2015,16,342,6212,27493
8610000US20531,20531,"ZIP 20531 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20534,20534,"ZIP 20534 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20535,20535,"ZIP 20535 (Washington, DC)",0,Total for all sectors,2015,18,193,3415,13941
8610000US20536,20536,"ZIP 20536 (Washington, DC)",0,Total for all sectors,2015,12,164,2343,9564
8610000US20540,20540,"ZIP 20540 (Washington, DC)",0,Total for all sectors,2015,8,180,1352,5462
8610000US20543,20543,"ZIP 20543 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20544,20544,"ZIP 20544 (Washington, DC)",0,Total for all sectors,2015,8,175,2909,13119
8610000US20546,20546,"ZIP 20546 (Washington, DC)",0,Total for all sectors,2015,9,57,1036,5064
8610000US20547,20547,"ZIP 20547 (Washington, DC)",0,Total for all sectors,2015,6,32,500,2106
8610000US20548,20548,"ZIP 20548 (Washington, DC)",0,Total for all sectors,2015,9,764,6949,29683
8610000US20549,20549,"ZIP 20549 (Washington, DC)",0,Total for all sectors,2015,11,266,5118,21460
8610000US20551,20551,"ZIP 20551 (Washington, DC)",0,Total for all sectors,2015,5,35,378,1633
8610000US20552,20552,"ZIP 20552 (Washington, DC)",0,Total for all sectors,2015,3,38,371,1575
8610000US20553,20553,"ZIP 20553 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20554,20554,"ZIP 20554 (Washington, DC)",0,Total for all sectors,2015,3,b,D,D
8610000US20560,20560,"ZIP 20560 (Washington, DC)",0,Total for all sectors,2015,21,428,2239,11066
8610000US20565,20565,"ZIP 20565 (Washington, DC)",0,Total for all sectors,2015,6,c,D,D
8610000US20566,20566,"ZIP 20566 (Washington, DC)",0,Total for all sectors,2015,9,262,1535,6868
8610000US20571,20571,"ZIP 20571 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20577,20577,"ZIP 20577 (Washington, DC)",0,Total for all sectors,2015,6,134,2824,8446
8610000US20579,20579,"ZIP 20579 (Washington, DC)",0,Total for all sectors,2015,1,b,D,D
8610000US20580,20580,"ZIP 20580 (Washington, DC)",0,Total for all sectors,2015,3,38,601,2464
8610000US20581,20581,"ZIP 20581 (Washington, DC)",0,Total for all sectors,2015,2,b,D,D
8610000US20585,20585,"ZIP 20585 (Washington, DC)",0,Total for all sectors,2015,30,743,11503,46652
8610000US20590,20590,"ZIP 20590 (Washington, DC)",0,Total for all sectors,2015,10,54,880,4762
8610000US20591,20591,"ZIP 20591 (Washington, DC)",0,Total for all sectors,2015,14,149,2357,8114
8610000US20593,20593,"ZIP 20593 (Washington, DC)",0,Total for all sectors,2015,21,158,3812,15515
8610000US20597,20597,"ZIP 20597 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
